Format Version,0.1,,,,,,,,,,,,,,,,,
Headers,l1 l2 l3 l4 l5 l6 l7 l8 SampleTemp Date Prototype Optics CellType Cell Drug Conc Test Folder NPoints,,,,,,,,,,,,,,,,,
Data Types,20.18f 20.18f 20.18f 20.18f 20.18f 20.18f 20.18f 20.18f f s s s s s s s s s s,,,,,,,,,,,,,,,,,
Model Version,4,,,,,,,,,,,,,,,,,
Interpolator,poly,,,,,,,,,,,,,,,,,
Model Complete,0,,,,,,,,,,,,,,,,,
Date,26/03/2018 13:32,,,,,,,,,,,,,,,,,
Enclosing Folder,G:\Team Drives\Data\Veriphi\2018\3. March\Helium\Pane Matching (Thick Set),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
l1,l2,l3,l4,l5,l6,l7,l8,SampleTemp,Date,Prototype,Optics,CellType,Cell,Drug,Conc,Test,Folder,NPoints
0.190267136,0.83054352,3.083048204,1.207898266,0.637962596,0.619087277,0.756963153,1.118327427,21.160309,180321-1545 Saline Elite-4-2 14,Helium,,Elite-4,2,Saline,9,14,,0
0.190327072,0.830547505,0,1.207861983,0.637925104,0.619105692,0.757002928,1.11833515,21.157738,180321-1546 Saline Elite-4-2 15,Helium,,Elite-4,2,Saline,9,15,,0
0.190904302,0.832492976,3.09941845,1.208941348,0.639872576,0.621193198,0.760383778,1.124273271,21.190161,180321-1653 Saline Elite-5-2 1,Helium,,Elite-5,2,Saline,9,1,,0
0.190901425,0.832465748,3.094783172,1.208990109,0.639934829,0.621179554,0.760515395,1.124049701,21.184497,180321-1653 Saline Elite-5-2 2,Helium,,Elite-5,2,Saline,9,2,,0
0.190952159,0.832575312,0,1.209058771,0.639972963,0.621246869,0.760494991,1.123913074,21.177619,180321-1654 Saline Elite-5-2 3,Helium,,Elite-5,2,Saline,9,3,,0
0.191027281,0.832583274,3.097700015,1.209007357,0.640003989,0.621265934,0.760509412,1.123955294,21.172541,180321-1655 Saline Elite-5-2 4,Helium,,Elite-5,2,Saline,9,4,,0
0.190936028,0.832497988,3.102042825,1.209089822,0.639998354,0.621309105,0.760508678,1.123956065,21.166527,180321-1656 Saline Elite-5-2 5,Helium,,Elite-5,2,Saline,9,5,,0
0.191003458,0.832618021,3.093271476,1.209091221,0.640016073,0.621290463,0.760540422,1.123965965,21.162957,180321-1656 Saline Elite-5-2 6,Helium,,Elite-5,2,Saline,9,6,,0
0.190997695,0.832594622,3.094366518,1.209119604,0.64002446,0.621314811,0.760491484,1.124492101,21.160391,180321-1657 Saline Elite-5-2 7,Helium,,Elite-5,2,Saline,9,7,,0
0.191070279,0.832647201,3.094875276,1.209122039,0.640040836,0.621359632,0.760484224,1.124140225,21.156907,180321-1658 Saline Elite-5-2 8,Helium,,Elite-5,2,Saline,9,8,,0
0.191042854,0.832601314,3.090591552,1.20915603,0.640056882,0.621369712,0.760476776,1.123688181,21.152497,180321-1659 Saline Elite-5-2 10,Helium,,Elite-5,2,Saline,9,10,,0
0.191093376,0.832648231,3.096194881,1.209177627,0.6400916,0.621370129,0.760527761,1.124014808,21.152955,180321-1659 Saline Elite-5-2 9,Helium,,Elite-5,2,Saline,9,9,,0
0.191049059,0.832636457,3.093999417,1.209183774,0.640073236,0.6213844,0.760471653,1.124320128,21.151911,180321-1700 Saline Elite-5-2 11,Helium,,Elite-5,2,Saline,9,11,,0
0.19099743,0.832594215,3.09094464,1.209201915,0.640092447,0.62139005,0.760436407,1.12399492,21.149125,180321-1701 Saline Elite-5-2 12,Helium,,Elite-5,2,Saline,9,12,,0
0.190988208,0.832549443,3.094623041,1.209238368,0.640067701,0.621396295,0.760406261,1.124029449,21.149945,180321-1702 Saline Elite-5-2 13,Helium,,Elite-5,2,Saline,9,13,,0
0.190989574,0.832496868,3.089917169,1.209229472,0.640062395,0.621404984,0.760420272,1.123841703,21.148794,180321-1703 Saline Elite-5-2 14,Helium,,Elite-5,2,Saline,9,14,,0
0.190969373,0.832596599,3.090138466,1.209233707,0.640081321,0.621405621,0.760436337,1.124286035,21.146228,180321-1703 Saline Elite-5-2 15,Helium,,Elite-5,2,Saline,9,15,,0
0.190916146,0.832637831,3.101235683,1.208857941,0.639837732,0.621153348,0.760409145,1.124283744,21.223651,180321-1709 Saline Elite-6-2 1,Helium,,Elite-6,2,Saline,9,1,,0
0.190952594,0.832675906,3.092244203,1.208941546,0.639918828,0.621198189,0.760461705,1.124306454,21.208627,180321-1709 Saline Elite-6-2 2,Helium,,Elite-6,2,Saline,9,2,,0
0.190989891,0.83263946,3.104276716,1.20902717,0.639969954,0.621271011,0.760476334,1.124172714,21.198042,180321-1710 Saline Elite-6-2 3,Helium,,Elite-6,2,Saline,9,3,,0
0.190976302,0.832686272,3.085889698,1.209000693,0.639949062,0.621220699,0.760479739,1.124017758,21.188596,180321-1711 Saline Elite-6-2 4,Helium,,Elite-6,2,Saline,9,4,,0
0.19093085,0.832603433,3.089802135,1.209031275,0.639992,0.621241259,0.760477154,1.123935229,21.181685,180321-1712 Saline Elite-6-2 5,Helium,,Elite-6,2,Saline,9,5,,0
0.190977213,0.832584758,3.094258463,1.209043436,0.639975097,0.621298108,0.760466288,1.12421891,21.176513,180321-1712 Saline Elite-6-2 6,Helium,,Elite-6,2,Saline,9,6,,0
0.190928652,0.832538642,3.105690147,1.209035833,0.639982233,0.621235673,0.760486366,1.124095059,21.172676,180321-1713 Saline Elite-6-2 7,Helium,,Elite-6,2,Saline,9,7,,0
0.191015219,0.832644358,3.096932991,1.209077308,0.63995935,0.621267094,0.760492307,1.123631682,21.169399,180321-1714 Saline Elite-6-2 8,Helium,,Elite-6,2,Saline,9,8,,0
0.191064485,0.83265389,3.093310101,1.209140578,0.640055787,0.621346441,0.760512184,1.124357941,21.16536,180321-1715 Saline Elite-6-2 10,Helium,,Elite-6,2,Saline,9,10,,0
0.191056489,0.832668289,3.096559343,1.209115646,0.640029678,0.621352348,0.760531327,1.123878337,21.167732,180321-1715 Saline Elite-6-2 9,Helium,,Elite-6,2,Saline,9,9,,0
0.191095686,0.832846838,3.092608498,1.209206821,0.640133384,0.621396604,0.760603408,1.124222523,21.163709,180321-1716 Saline Elite-6-2 11,Helium,,Elite-6,2,Saline,9,11,,0
0.191146111,0.832698661,3.094703948,1.209224105,0.640138611,0.621473462,0.760601373,1.124137937,21.162787,180321-1717 Saline Elite-6-2 12,Helium,,Elite-6,2,Saline,9,12,,0
0.191049123,0.832728081,3.09343215,1.209114939,0.640035876,0.621338144,0.760496646,1.12417717,21.160874,180321-1718 Saline Elite-6-2 13,Helium,,Elite-6,2,Saline,9,13,,0
0.191015793,0.832619157,3.095557175,1.209059895,0.640005864,0.621336962,0.760431131,1.124030571,21.159416,180321-1719 Saline Elite-6-2 14,Helium,,Elite-6,2,Saline,9,14,,0
0.190924282,0.832591105,3.088471759,1.209075474,0.640016547,0.621290652,0.760467353,1.123773253,21.158609,180321-1719 Saline Elite-6-2 15,Helium,,Elite-6,2,Saline,9,15,,0
0.192085447,0.834267429,3.094732877,1.20889062,0.639973615,0.621149425,0.759935303,1.123891437,21.351637,180322-0857 Saline Elite-7-2 1,Helium,,Elite-7,2,Saline,9,1,,0
0.192064267,0.834249816,3.094000277,1.20888076,0.640055812,0.621232879,0.760062145,1.123727258,21.352978,180322-0858 Saline Elite-7-2 2,Helium,,Elite-7,2,Saline,9,2,,0
0.192132278,0.834301774,3.096071639,1.208928001,0.640124119,0.621298719,0.76002549,1.12369899,21.353982,180322-0858 Saline Elite-7-2 3,Helium,,Elite-7,2,Saline,9,3,,0
0.192243295,0.834446304,3.098677361,1.208953597,0.640171989,0.621417363,0.760149764,1.123849539,21.353915,180322-0859 Saline Elite-7-2 4,Helium,,Elite-7,2,Saline,9,4,,0
0.192201087,0.834414587,3.095451563,1.208901907,0.640135526,0.621324671,0.760074597,1.123595112,21.351291,180322-0900 Saline Elite-7-2 5,Helium,,Elite-7,2,Saline,9,5,,0
